College Name,Address,District,Type
"INSTITUTE OF BUSINESS MANAGEMENT & RESEARCH, WAKAD","S. NO. 130, MUMBAI-BANGLORE HIGHWAY, OPP. OLD WAKAD POLICE CHOWKY, WAKAD, PUNE 411057",PUNE,Private-Self Financing
DR. J.J. MAGDUM COLLEGE OF ENGINEERING.,"GAT NO.-314/330.AGAR BHAG, SHIROLWADI ROAD.",KOLHAPUR,Private-Self Financing
RIZVI COLLEGE OF ENGINEERING,"RIZVI EDUCATIONAL COMPLEX, SHERLY RAJAN VILLAGE OFF. CARTER ROAD, BANDRA (WEST)",MUMBAI SUBURBAN,Private-Self Financing
J.T. MAHAJAN COLLEGE OF ENGINEERING,"JIVRAMNAGAR, NHAVI-MARG, MSSK, FAIZPUR, TEHSIL - YAWAL, DISTRICT - JALGAON",JALGAON,Private-Self Financing
MARATHA VIDYA PRASARAK SAMAJ'S KARMAVEER ADV. BABURAO GANPATRAO THAKARE COLLEGE OF ENGINEERING,"UDOJI MARATHA BOARDING CAMPUS, NEAR PUMPING STATION, GANGAPUR ROAD, NASHIK-422013, MAHARASHTRA",NASHIK,Private-Self Financing
MARATHWADA MITRA MANDAL'S COLLEGE OF ENGINEERING,"SR.NO 18, PLOT NO.5/3,KARVENAGAR, PUNE 411 052",PUNE,Private-Self Financing
YADAVRAO TASGAONKAR INSTITUTE OF ENGNEERING AND TECHNOLOGY,"VILLAGE,CHANDHI,NEAR BHIVPURI ROAD STATION,KARJAT,RAIGAD,PIN 410201",RAIGAD,Private-Self Financing
FR. C. RODRIGUES INSTITUTE OF MANAGEMENT STUDIES,"FR. AGNEL TECHNICAL EDUCATION COMPLEX SECTOR-9A, VASHI, NEXT TO NOOR MASJID",THANE,Private-Self Financing
BALAJI INSTITUTE OF MODERN MANAGEMENT(BIMM),"S.NO 55/2-7 TATHAWADE, PUNE 411033",PUNE,Private-Self Financing
BHARATI VIDYAPEETH'S INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY NAVI MUMBAI,"SECTOR - 8 , C.B.D. BELAPUR , NAVI MUMBAI",THANE,Private-Self Financing
SHARADCHADRA PAWAR INSTITUTE OF MANAGEMENT,"AT.DUMBARWADI, POST.KHAMUNDI TAL.JUNNAR DIST.PUNE 410504",PUNE,Private-Self Financing
SCHOOL OF COMPUTER SCIENCES NORTH MAHARASHTRA UNIVERSITY JALGAON,"DEPARTMENT OF COMPUTER SCIENCE, NORTH MAHARASHTRA UNIVERSITY, JALGAON POST BOX. NO. 80 UMAVI NAGER JALGAON-425 001 M.S.",JALGAON,Government
SINHGAD INSTITUTE OF BUSINESS ADMINISTRATION AND RESEARCH,"NEAR PMC OCTROI POST, KONDHWA - SASWAD ROAD, KONDHWA ( BK. ), PUNE - 411048",PUNE,Private-Self Financing
P.E.S. COLLEGE OF ENGINEERING,"UNIVERSITY ROAD, NEAR PANCHAKKI, NAGSENVANA,",AURANGABAD,Private-Self Financing
LATE BHAUSAHEB HIRAY S.S. TRUST'S INSTITUTE OF COMPUTER APPLICATION,"SR. 341. NEXT TO NEW ENGLISH SCHOOL, GOVT COLONY BANDRA (E), MUMBAI 400051",MUMBAI SUBURBAN,Private-Self Financing
"ADARSH SHIKSHAN PRASARAK MANDAL'S K.T.PATIL COLLEGE OF MBA, OSMANABAD.","ADARSH SHIKSHAN PRASARAK MANDAL'S K.T.PATIL COLLEGE OF MBA, SIDDHARTH NAGAR, BARSHI ROAD,OSMANABAD. (M.S) 413501",OSMANABAD,Private-Self Financing
"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT AND RESEARCH","SHYAMNARAYAN THAKUR MARG, THAKUR VILLAGE, KANDIVALI (E)",MUMBAI SUBURBAN,Private-Self Financing
ADHALRAO PATIL INSTITUTE OF MANAGEMENT AND RESEARCH,"A/P LANDEWADI (CHINCHODI), TAL - AMBEGAON, DIST- PUNE -410503",PUNE,Private-Self Financing
"KARMAVEER KAKASAHEB WAGH POLYTECHNIC, NASHIK","HIRABAI HARIDAS VIDYANAGARI, AMRUTDHAM, PANCHAVATI, NASHIK",NASHIK,Private-Self Financing
"NSCT'S INSTITUTE OF MANAGEMENT SCIENCE, PIMPRI(BK)",AT/POST PIMPRI (BK) PAYEET ROAD TAL KHED DIST PUNE,PUNE,Private-Self Financing
ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S INSTITUTE OF INFORMATION TECHNOLOGY,"KENNEDY ROAD, NEAR R.T.O, PUNE- 411 001",PUNE,Private-Self Financing
ASM'S INSTITUTE OF BUSINESS MANAGEMENT & RESEARCH MBA INSTITUTE,"MIDC, BLOCK 'C', CHINCHWAD, PUNE-411019",PUNE,Private-Self Financing
"DHANANJAYRAO GADGIL INSTITUTE OF CO-OP MANAGEMENT,NAGPUR","ICM BUS STOP,MINI BYEPASS ROAD,NEW NANDANWAN NAGPUR-09",NAGPUR,Government
SHIKSHAN MAHARSHI DR. D. Y. PATIL CENTER FOR MANAGEMENT AND RESEARCH,"GAT NO 1029,1030.1031 NEXT TO THERMAX SQUARE,NEWALE WASTI, CHIKHALI PUNE 412114",PUNE,Private-Self Financing
ADITYA ENGINEERING COLLEGE,TELGAON ROAD BEED,BEED,Private-Self Financing
SAIBALAJI INTERNATIONAL INTSTITUTE OF MANAGEMENT SCIENCES,"SURVEY NO # 54, NERE MARUNJE, NEAR HINJEWADI IT PARK, PUNE-411033",PUNE,Private-Self Financing
"POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S G. M. CHAUDHARI, POLYTECHNIC, SHAHADA","THE PRINCIPAL POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S G. M. CHAUDHARI, POLYTECHNIC, SHAHADA , TAL : SHAHADA, DIST : NANDURBAR.",NANDURBAR,Private-Self Financing
INSTITUTE OF MANAGEMENT & ENTREPRENEURSHIP DEVELOPMENT,"BHARATI VIDYAPEETH EDUCATION COMPLEX, PAUD ROAD, ERANDAWANE,",PUNE,Private-Self Financing
BABASAHEB GAWDE INSTITUTE OF MANAGEMENT STUDIES,"DR. A. B. NAIR ROAD, MUMBAI CENTRAL, OPP NAIR DENTAL COLLEGE",MUMBAI CITY,Private-Self Financing
RAJGAD INSTITUTE OF MANAGEMENT RESEARCH AND DEVELOPMENT,"S. NO. 32/2/12 TO 16, OPP. DHANKAWADI POST OFFICE, DHANKAWADI, PUNE - 411043.",PUNE,Private-Self Financing
VISHWASATTYA COLLEGE OF MBA,"OZAR VIKAS SANSTHAS COLLEGE OF MBA,GAT NO 887,OZAR SUKENA ROAD TEHSIL:-NIPHAD DDIST:NASHIK PIN 422206 (MAHARASHTRA)",NASHIK,Private-Self Financing
MULSHI INSTITUTE OF RETAIL MANAGEMENT,"GUT NO:237- 243, A/P: SAMBHAVE, TAL: MULSHI",PUNE,Private-Self Financing
SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING,"AT. DUMBARWADI , POST. KHAMUNDI, TAL- JUNNAR, DIST- PUNE 412409",PUNE,Private-Self Financing
ST. JOHN COLLEGE OF ENGINEERING AND MANAGEMENT,"ST. JOHN TECHNICAL EDUCATION COMPLEX, VEVOOR, MANOR ROAD, PALGHAR (E), THANE DISTRICT",THANE,Private-Self Financing
"V.P.INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH, SANGLI.","SANGLI MIRAJ ROAD,WANLESSWADI,SANGLI 416414",SANGLI,Private-Self Financing
XAVIER INSTITUTE OF MANAGEMENT & RESEARCH,"ST. XAVIER'S COLLEGE,5 MAHAPALIKA MARG,MUMBAI 400 001",MUMBAI CITY,Private-Self Financing
INSTITUTE OF BUSINESS MANAGEMENT AND RURAL DEVELOPMENT,"NR ENGG COLLEGE, PO MIDC, VILADGHAT, AHMEDNAGAR 414111",AHMEDNAGAR,Private-Self Financing
PEOPLES EMPOWERMENT GROUP INTERNATIONAL SCHOOL OF BUSINESS & MEDIA,"SURVEY NO. 44/1,44/1/2, NANDE VILLAGE TALUKA MULSHI DISTRICT PUNE PUNE -411042",PUNE,Private-Self Financing
"M.G.M'S COLLEGE OF ENGINEERING ,NANDED","NEAR AIRPORT,HINGOLI,ROAD,NANDED-431 605",NANDED,Private-Self Financing
"COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE, DEPARTMENT OF MANAGEMENT, YAVATMAL.","13/4 (A), BEHIND NARINGE NAGAR, DHAMANGAON ROAD, YAVATMAL 445001. MAHARASHTRA",YAVATMAL,Private-Self Financing
BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY,A/P BELATI TALUKA:NORTH SOLAPUR DISTRICT :SOLAPUR,SOLAPUR,Private-Self Financing
"GOURISHANKAR INSTITUTE OF MANAGEMENT SCIENCES,LIMB,SATARA","SURVEY NO.990, NH -4 (SATARA PUNE HIGHWAY),LIMB, SATARA.PINCODE - 415015.",SATARA,Private-Self Financing
JHULELAL INSTITUTE OF TECHNOLOGY,"OFF KORADI ROAD, LONARA, NAGPUR",NAGPUR,Private-Self Financing
HIRACHAND NEMCHAND COLLEGE OF COMMERCE,SETH WALCHAND HIRACHAND MARG ASHOK CHOWK,SOLAPUR,Private-Self Financing
SHRI KHANDERAI PRATISHTHAN'S DNYANSAGAR INSTITUTE OF MANAGEMENT & RESEARCH,"S.NO. 4/3,4/2, BALEWADI",PUNE,Private-Self Financing
BHARATI VIDYAPEETH DEEMED UNIVERSITY COLLEGE OF ENGINEERING,"PUNE-SATARA ROAD, DHANKAWADI, PUNE, MAHARASHTRA, INDIA. PIN - 411 043.",PUNE,Private-Self Financing
K. D. K. COLLEGE OF ENGINEERING,"GREAT NAG ROAD, NANDANVAN, NAGPUR-440009",NAGPUR,Private-Self Financing
A.I.'S MOHAMMED HAJI SABOO SIDDIK POLYTECHNIC,"8, SABOO SIDDIK POLYTECHNIC ROAD,BYCULLA",MUMBAI CITY,Govt aided
"GOVERNMENT COLLEGE OF ENGINEERING, AMRAVATI","GADGE NAGAR, VMV ROAD, NEAR KATHORA NAKA",AMRAVATI,Government
S.V.P.M.'S COLLEGE OF ENGINEERING,"A/P- MALEGAON (BK), TAL- BARAMATI, DIST-PUNE, PIN- 413115, MAHARASHTRA, INDIA",PUNE,Private-Self Financing
"VIDYA PRATISHTHANâS KAMALNAYAN BAJAJ INSTITUTE OF ENGINEERING & TECHNOLOGY, BARAMATI","VIDYANAGARI, MIDC (RESI. ZONE), BARAMATI, DIST. PUNE - 413133, MAHARASHTRA STATE, INDIA",PUNE,Private-Self Financing
PIMPRI CHINCHWAD COLLEGE OF ENGINEERING,"SECTOR NO 26,PRADHIKARAN,NIGADI,PUNE 44",PUNE,Private-Self Financing
SHIVAJIRAO S. JONDHLE COLLEGE OF ENGINEERING &TECHNOLOGY,"AT ASANGAON, OPP RAILWAY STATION, ASANGAON TAL SHAHAPUR DIST THANE",THANE,Private-Self Financing
"GOVERNMENT COLLEGE OF ENGINEERING, CHANDRAPUR","BALLARPUR BYPASS, BABUPETH, OPP. PRASANNA PETROL PUMP CHANDRAPUR-442 403 MAHARASHTRA",CHANDRAPUR,Government
SMT. KASHIBAI NAVALE COLLEGE OF ENGINEERING,"S.NO. 44/1, VADGAON BK., OFF SINHGAD RD., PUNE",PUNE,Private-Self Financing
SINHGAD BUSINESS SCHOOL,"19/15 SMT. KHILARE MARG, OFF KARVE ROAD ERANDWANE PUNE 411004",PUNE,Private-Self Financing
SINHGAD INSTITUTE OF MANAGEMENT AND COMPUTER APPLICATION,"S.NO.49, OFF. WESTERLY BYPASS, MUMBAI-PUNE EXPRESSWAY, NARHE AMBEGAON (BK), PUNE 411041",PUNE,Private-Self Financing
K.C. COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES AND RESEARCH,"NEAR SADGURU GARDEN, MITH BUNDER ROAD, KOPRI, THANE(E",THANE,Private-Self Financing
SIES COLLEGE OF MANAGEMENT STUDIES,"SRI. CHANDRASEKARENDRA SARASWANTHY VIDYAPURAM PLOT1E, SECTOR V, NERUL, NAVI MUMBAI- 400 706",THANE,Private-Self Financing
SINHGAD ACADEMY OF ENGINEERING,"S.NO. 40, KONDHWA(BK), KONDHWA- SASWAD ROAD, NEAR PMC OCTROI POST, PUNE-411048, MAHARASHTRA",PUNE,Private-Self Financing
SINHGAD COLLEGE OF ENGINEERING,"S. NO. 44/1, VADGAON (BUDARUK) OFF SINHGAD ROAD, PUNE",PUNE,Private-Self Financing
"MATSYODARI SHIKSHAN SANSTHA'S COLLEGE OF ENGINEERING AND TECHNOLOGY, JALNA","AURANGABAD ROAD, NAGEWADI",JALNA,Private-Self Financing
INSTITUTE OF MANAGEMENT & CAREER COURSES,"131, MAYUR COLONY, KOTHRUD",PUNE,Private-Self Financing
CHETANA'S RAMPRASAD KHANDELWAL INSTITUTE OF MANAGEMENT & RESEARCH,"SURVEY NO. 341, GOVERNMENT COLONY, BANDRA (E), MUMBAI 400 051.",MUMBAI CITY,Private-Self Financing
YESHWANTRAO CHAVAN COLLEGE OF ENGINEERING,"WANADONGRI, HINGNA ROAD, NAGPUR - 441 110",NAGPUR,Private-Self Financing
POONA INSTITUTE OF MANAGEMENT SCIENCES AND ENTREPRENEURSHIP,"K.B.HIDAYATULLAH ROAD,CAMP,PUNE.",PUNE,Private-Self Financing
VISHWAKARMA INSTITUTE OF TECHNOLOGY,"666, UPPER INDIRANAGAR, BIBWEWADI",PUNE,Private-Self Financing
"SHREEYASH PRATISHTHAN'S, SHREEYASH COLLEGE OF ENGINEERING & TECHNOLOGY","GUT NO. 258, SATARA TANDA, AURANGABAD-431005 DIST: AURANGABAD MAHARASHTRA",AURANGABAD,Private-Self Financing
ST. FRANCIS INSTITUTE OF MANAGEMENT AND RESEARCH,"MT. POINSUR, S.V.P. ROAD, BORIVLI(W) MUMBAI 400 103",MUMBAI SUBURBAN,Private-Self Financing
KASTURI SHIKSHAN SANSTHA'S INSTITUTE OF MANAGEMENT,"SHIKRAPUR, TAL -SHIRUR",PUNE,Private-Self Financing
JAYWANT INSTITUTE OF MANAGEMENT,"GAT NO. 40 & 41 AT-POST - WATHAR, TAL- KARAD, DIST- SATARA.",SATARA,Private-Self Financing
SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES,"BABHULDE, BANK OF TAPI RIVER, MUMBAI AGRA ROAD",DHULE,State Private University
MAHATMA GANDHI VIDYAMANDIR'S SAMAJSHREE PRASHANTDADA HIRAY COLLEGE OF MANAGEMENT AND TECHNOLOGY,"MUMBAI AGRAROAD, PANCHAVATI, NASHIK-422 OO3",NASHIK,Private-Self Financing
J D COLLEGE OF ENGINEERING AND MANAGEMENT,"AT:KHANDALA , POST: VALNI,KATOL ROAD, NAGPUR 441 501",NAGPUR,Private-Self Financing
SHRI RAMKRISHNA PARAMHANS POLYTECHNIC INSTITUTE,"NH 61, PATHRI ROAD, HASNAPUR",PARBHANI,Private-Self Financing
ISBM SCHOOL OF COMMUNICATION AND MEDIA MANAGEMENT,"44/1, 44/1/2, VILLAGE NANDE, PASHAN SUS ROAD TALUKA MULSHI",PUNE,Private-Self Financing
THAKUR COLLEGE OF ENGINEERING & TECHNOLOGY,"SHYAMNARAYAN THAKUR MARG, THAKUR VILLAGE, KANDIVALI ( EAST ), MUMBAI -400101.",MUMBAI SUBURBAN,Private-Self Financing
VIVEKANAND EDUCATION SOCIETY'S INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"495-497,NEAR MUNICIPAL SCHOOL,COLLECTORS COLONY.",MUMBAI SUBURBAN,Private-Self Financing
VIVEKANAND EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY,"HASHU ADVANI MEMORIAL COMPLEX, COLLECTOR'S COLONY, R.C. MARG, CHEMBUR, MUMBAI - 400074",MUMBAI SUBURBAN,Private-Self Financing
HI-TECH INSTITUTE OF TECHNOLOGY,"P-119,BAJAJNAGAR NEAR HOTEL MRUGNAYNI AURANGABAD PIN CODE 431136",AURANGABAD,Private-Self Financing
D.K.T.E. SOCIETY'S TEXTILE & ENGINEERING INSTITUTE,"""RAJWADA"" POST BOX NO. 130",KOLHAPUR,Private-Self Financing
SHARADCHANDRA PAWAR ARTS AND COMMERCE COLLEGE,"GAT NO.76, DUDULGAON",PUNE,Private-Self Financing
GURUKUL INSTITUTE OF TECHNOLOGY,AT KSHIRSAGAR,JALNA,Private-Self Financing
DHANAJI NANA MAHAVIDYALYA,NEHRU VIDYANAGAR SAVADA ROAD FAIZPUR TAL YAWAL DIST JALGAON,JALGAON,Govt aided
DEOGIRI COLLEGE,"DEOGIRI CAMPUS, PADAMPURA, STATION ROAD",AURANGABAD,Govt aided
ALDEL INSTITUTE OF MANAGEMENT,"ST. JOHN TECHNICAL AND EDUCATIONAL CAMPUS, VEVOOR, MANOR ROAD, PALGHAR EAST, DISTRICT PALGHAR - 401404",THANE,Private-Self Financing
SHRI VILE PARLE KELAVANI MANDALS COLLEGE OF ENGINEERING SHIRPUR,"SURVEY NO. 9/1, 9/2, AT POST DAHIVAD BEHIND TEXTILE PARK, ANKLESHWAR BURHANPUR HIGHWAY, TAL SHIRPUR, DIST - DHULE",DHULE,Private-Self Financing
MANIBEN NANAVATI WOMEN'S COLLEGE,"VALLABHBHAI ROAD, VILE PARLE (WEST)",MUMBAI SUBURBAN,Govt aided
SANT EKNATH COLLEGE OF ENGINEERING,"NIPANI-BHALGAON,BEED HIGHWAY ROAD,AURANGABAD",AURANGABAD,Private-Self Financing
MANGALDEEP COLLEGE OF ENGINEERING,"GUT NO. 229 BEED ROAD, NIPANI- CHA SAMBHAJI NAGAR (AURANGABAD)",AURANGABAD,Private-Self Financing
MAHARSHI KARVE STREE SHIKSHAN SAMSTHA'S SCHOOL OF FASHION TECHNOLOGY,"SR.13/1/2,NARHE AMBEGAON, OPP.VISION ENGLISH MEDIUM SCHOOL,NARHE PUNE 411041",PUNE,Private-Self Financing
MIT VISHWAPRAYAG UNIVERSITY,"GUT NOS. 66/8, 67, 70-72, 73/B/8/1, 73/3/A, VILLAGE KEGAON, SOLAPUR-PUNE HIGHWAY, TALUKA NORTH SOLAPUR",SOLAPUR,State Private University
VIVEKANAND COLLEGE KOLHAPUR,"2130, E TARABAI PARK KOLHAPUR",KOLHAPUR,Private-Self Financing
KISANVIDYAPRASARAKSANSTHASSPDMARTSSBBANDSHDCOMMERCEANDSMASCIENCECOLLEGESHIRPUR,"SHINGAVE SHIVAR , WAGHADI ROAD. TALâ SHIRPUR, DIST.-DHULE, M.S.425405",DHULE,Govt aided
ASM INSTITUTE OF INTERNATIONAL BUSINESS AND RESEARCH,"S.NO.29/1+2A, CTS NO. 4695, OLD MUMBAI PUNE HIGHWAY, PIMPRI, PUNE 411018",PUNE,Private-Self Financing
KCES MOOLJI JAITHA COLLEGE,"MJ COLLEGE CAMPUS, SHIVRAM NAGAR",JALGAON,Govt aided
YASHWANTRAO CHAVAN MAHAVIDYALAYA,"S D PATIL NAGAR, TAKARI ROAD",SANGLI,Private-Self Financing
IMPERIAL SCHOOL OF BANKING AND MANAGEMENT STUDIES,"1ST FLOOR, INDIALAND GLOBAL TECH PARK, BEHIND GRAND HIGHSTREET MALL, PHASE 1, RAJIV GANDHI INFOTECH PARK, HINJAWADI, PUNE",PUNE,Private-Self Financing
SYSTEL TECHNICAL EDUCATION SOCIETYS SYSTEL INSTITUTE OF MANAGEMENT AND RESEARCH,"7 KSHIRE COLONY, WADIBHOKAR ROAD, DEOPUR, DHULE",DHULE,Private-Self Financing
KARMAVEER HIRE ARTS SCIENCE COMMERCE AND EDUCATION COLLEGE,"HUTATMA MURALIDHAR NAGAR , GARGOTI",KOLHAPUR,Govt aided
INDIRA INSTITUTE OF MANAGEMENT PGDM,"SURVEY NO.64/65, GAT NO. 276, AT/PO-PARANDWADI, TAL-MAVAL, PUNE",PUNE,Private-Self Financing
TULASKAR INSTITUTE OF SCIENCE AND TECHNOLOGY,"SANT TUKDOJI WARD, NEAR BALAJI TOWN, BEHIND TULASKAR LOWN, HINGANGHAT",WARDHA,Private-Self Financing
PHARATE PATIL MANAGEMENT INSTITUTES,"A/P - MANDAVGAN PHARATA, TAL-SHIRUR, DIST-PUNE,PIN-412211",PUNE,Private-Self Financing
SANTOSH COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE,"AT POST MHASRUL, TAL. DIST. NASHIK",NASHIK,Private-Self Financing
DHULE EDUCATION SOCIETY'S M. D. PALESHA COMMERCE COLLEGE,"DR. RAM MANOHAR LOHIYA MARG, NEAR SRP PETROL PUMP",DHULE,Govt aided
BHUSAWAL ARTS SCIENCE AND P O NAHATA COMMERCE COLLEGE BHUSAWAL,"EAR AH 46, JAMNER ROAD BHUSAWAL",JALGAON,Govt aided
SHAHADA TALUKA EDUCATIONAL SOCIETY AND COOP. EDUCATIONAL SOCIETY LTD. INSTITUTE OF MANAGEMENT RESEARCH AND DEVELOPMENT SHAHADA,DR.VISHRAMKAKA EDUCATIONAL CAMPUS(VIKAS) DONDIACHA ROAD,NANDURBAR,Private-Self Financing
N. D. KASAR INSTITUTE OF ENGINEERING AND TECHNOLOGY,"NAGAR-WALKI ROAD,AT POST- WALKI, TAL- NAGAR, DIST.- AHMEDNAGAR 414006.",AHMEDNAGAR,Private-Self Financing
VALIA SCHOOL OF MANAGEMENT,"COSMOPOLITAN EDUCATION SOCIETY, COSMOPOLITAN EDUCATION SOCIETY ROAD, D.N. NAGAR, ANDHERI (WEST)",MUMBAI SUBURBAN,Private-Self Financing
A L D ARTS COMMERCE AND SCIENCE COLLEGE,"YEOLA NANDGAON ROAD, PANHALSATHE",NASHIK,Private-Self Financing
MATOSHRI EDUCATION SOCIETY,MATOSHRI COLLEGE OF SCIENCE NASHIK-AURANGABAD HIGHWAY NEAR ODHAGAON EKLAHARE SHIWAR NASHIK,NASHIK,Private-Self Financing
COLLEGE OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,"COCSIT CAMPUS, AMBAJOGAI ROAD, LATUR",LATUR,Private-Self Financing
JEEVAN REKHA PRATISTHAN'S MAHILA BCA MAHAVIDYALAYA,"PLOT NO E-51,NEAR IT PARK,MIDC,LATUR",LATUR,Private-Self Financing
SHRI ANANDRAO ABITKAR COLLEGE OF ENGINEERING,"GAT NO.66, AT.POST. PAL, TAL.BHUDARGAD",KOLHAPUR,Private-Self Financing
SHRIMAN BHAUSAHEB ZADBUKE MAHAVIDYALAYA BARSHI,ZADBUKE MARG LATUR ROAD BARSHI,SOLAPUR,Private-Self Financing
MUKTAINAGAR TALUKA EDUCATION SOCIETYS SMT GODAWARIBAI GANPATRAO KHADSE COLLEGE,"BHUSAWAL ROAD ,BEHIND GAJANAN MAHARAJ TEMPLE ,MUKTAINAGAR DIST- JALGAON",JALGAON,Govt aided
VAMANRAO ITHAPE COLLEGE OF ENGINEERING AND MANAGEMENT,"VELHALE, P.O. RAJAPUR",AHMEDNAGAR,Private-Self Financing
HON. BHAGYALAXMI T BAVISKAR INSTITUTE OF MANAGEMENT RESEARCH AND DEVELOPMENT DAHIWAD SHIRPUR,"CHOPDA FATA, DAHIWAD",DHULE,Private-Self Financing
BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE PILANI OFF CAMPUS CENTRE AT MUMBAI METRO POLITAN REGION,"PAWSHEPADA (OPP TABOR-ASHRAM), KALYAN-MURBAD ROAD, KAMBA, KALYAN, DIST: THANE - 421103",THANE,Deemed to be University(Pvt)
JAY BHARAT COLLEGE OF MCA DAPKA TQ.NILANGA DIST LATUR,BANK COLONY DAPKA TQ NILANGA DIST LATUR,LATUR,Private-Self Financing
IDEAS INSTITUTE OF DESIGN EDUCATION AND ARCHITECTURAL STUDIES,"HUDKESHWAR ROAD OUTER RING ROAD, JUNCTION POINT, POST PIPLA, NAGPUR",NAGPUR,Private-Self Financing
MES SENIOR COLLEGE,"131, MAYUR COLONY, KOTHRUD,",PUNE,Private-Self Financing
SOMAYYA INSTITUTE OF TECHNOLOGY,WADGAON WARD CHANDRAPUR,CHANDRAPUR,Private-Self Financing
HON SHRI ANNASAHEB DANGE ARTS COMMERCE AND SCIENCE COLLEGE HATKANANGALE,NEAR WATER TANK HATKANANGALE,KOLHAPUR,Govt aided
"SWAMI VIVEKANANDA COLLEGE OF MANAGEMENT, SCIENCE & ARTS,WARUD",NEAR BUS STOP WARUD,AMRAVATI,Private-Self Financing
ROYAL INSTITUTE OF TECHNICAL EDUCATION,"COCSIT CAMPUS, AMBAJOGAI ROAD, LATUR",LATUR,Private-Self Financing
ZULAL BHILAJIRAO PATIL COLLEGE,"Z.B PATIL MARG, WADIBHOKAR ROAD, DEOPUR,",DHULE,Govt aided
DATTAJIRAO KADAM ARTS SCIENCE AND COMMERCE COLLEGE ICHALKARANJI,"SURVEY NO.17/436, SHIVAJINAGAR, NEAR SHAHU PUTALA, KOLHAPUR ROAD, ICHALKARANJI",KOLHAPUR,Private-Self Financing
DEVI MAHALAXMI COLLEGE OF ENGINEERING AND TECHNOLOGY,"SURVEY 108, MHASKAL, TITWALA, TALUKA KALYAN",THANE,Private-Self Financing
ANNASAHEB AWATE ARTS COMMERCE AND HUTATMA BABU GENU SCIENCE COLLEGE,AT POST MANCHAR TAL AMBEGAON DIST PUNE,PUNE,Govt aided
ISB AND M COLLEGE OF COMMERCE,"SR. NO.44/1, 44/1/2, NANDE VILLAGE, PASHAN SUS ROAD, TALUKA MULSHI, DIST-PUNE-412115",PUNE,Private-Self Financing
ARTS COMMERCE AND SCIENCE COLLEGE DHARANGAON,DHARANGAON JALGAON HIGHWAY TAL DHARANGAON DIST JALGAON,JALGAON,Govt aided
DADASAHEB DR.SURESH G.PATIL COLLEGE CHOPDA,YAWAL ROAD CHOPDA,JALGAON,Govt aided
DHANAJI NANA CHAUDHARI VIDYA PRABODHINI SANCHALIT SHIRISH MADHUKARRAO CHAUDHARI COLLEGE JALGAON,"78/5, SHAKARRAO NAGAR, NEAR TALELE COLONY, OLD KHEDI ROAD",JALGAON,Govt aided
DAYANAND COLLEGE OF COMMERCE LATUR,BARSHI ROAD LATUR,LATUR,Govt aided
MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO AURANGABAD,"PLOT NO. 37, N-4, SECTOR D CIDCO, AURANGABAD",AURANGABAD,Private-Self Financing
K NARKHEDE COLLEGE BHUSAVAL,"SHARDA NAGAR ,BEHIND TECHNICAL HIGH SCHOOL BHUSAVAL",JALGAON,Private-Self Financing
MKD ARTS COMMERCE SCIENCE AND FASHION DESIGNING COLLEGE,PLOT NO 57 VIRCHAK NANDURBAR NAVAPUR HIGHWAY,NANDURBAR,Private-Self Financing
DR GHALI COLLEGE GADHINGLAJ,JAGRUTI NAGAR BHADGAON ROAD GADHINGLAJ,KOLHAPUR,Govt aided
SHRI VILE PARLE KELAVANI MANDAL'S USHA PRAVIN GANDHI COLLEGE OF ARTS SCIENCE AND COMMERCE,BHAKTI VEDANTA SWAMI MARG JUHU SCHEME,MUMBAI SUBURBAN,Private-Self Financing
TILAK MAHARASHTRA VIDYAPEETH,MAIN CAMPUS GULTEKDI MUKUNDNAGAR PUNE,PUNE,Deemed to be University(Pvt)
SARSAM COLLEGE OF MANAGEMENT AND TECHNOLY,"GAT NO.29/1, AT.PO: PALASHI-MORGAON, TAL: BARAMATI",PUNE,Private-Self Financing
PIMPRI CHINCHWAD UNIVERSITY,"GUT NO.44,46,48,49 &50, SATE (MAVAL), PMRDA",PUNE,State Private University
ADARSH COLLEGE VITA,"ADARSH COLLEGE,VITA SHRIRAMNAGAR, MAYANI ROAD, TAL-KHANAPUR ,DIST- SANGLI MAHARSHTRA 415311",SANGLI,Govt aided
NABIRA MAHAVIDYALAYA KATOL,DHANTOLI,NAGPUR,Private-Self Financing
